code,name,trade_date,open,high,low,close,change_rate,amplitude,volume,amount,turnover_rate,trade_count
300344,ST立方,2025-11-03,4.29,5.16,4.25,5.16,0.2,0.2116,68918616.0,336692930.0,0.1075,21184.0
688435,英方软件,2025-11-03,38.45,45.36,38.45,45.36,0.2,0.18280000000000002,11357407.0,475793820.0,0.2407,18438.0
300402,宝色股份,2025-11-03,21.85,21.85,21.85,21.85,0.1999,0.0,9217674.0,201406180.0,0.0378,4109.0
300848,美瑞新材,2025-11-03,18.97,18.97,18.26,18.97,0.1999,0.0449,44700498.0,845142460.0,0.1766,16101.0
300455,航天智装,2025-11-03,20.47,24.56,20.25,24.56,0.1998,0.21059999999999998,94083226.0,2156449000.0,0.1328,101536.0
301096,百诚医药,2025-11-03,61.32,69.48,58.21,68.99,0.19149999999999998,0.1946,31201563.0,2060804800.0,0.37689999999999996,37105.0
301468,博盈特焊,2025-11-03,38.53,43.6,37.11,42.47,0.1636,0.1778,18901751.0,762615210.0,0.252,36617.0
300710,万隆光电,2025-11-03,21.7,25.7,21.34,24.88,0.16149999999999998,0.20350000000000001,23684594.0,576814840.0,0.3176,37409.0
688766,普冉股份,2025-11-03,128.09,148.5,127.02,146.14,0.141,0.1677,18207540.0,2530032600.0,0.12300000000000001,45900.0
688559,海目星,2025-11-03,45.0,49.28,44.6,48.97,0.1367,0.10859999999999999,36697548.0,1742466800.0,0.1481,63965.0
300071,福石控股,2025-11-03,5.36,6.1,5.24,5.76,0.13390000000000002,0.1693,294756580.0,1690671700.0,0.3118,122072.0
300600,国瑞科技,2025-11-03,16.06,18.79,16.06,17.66,0.12480000000000001,0.1739,44320362.0,796809540.0,0.1506,57420.0
688472,阿特斯,2025-11-03,15.9,17.71,15.9,17.39,0.1219,0.1168,218302840.0,3657528100.0,0.1567,192041.0
300813,泰林生物,2025-11-03,30.14,34.87,30.13,33.46,0.1209,0.1588,8556104.0,285431810.0,0.1125,24238.0
300290,荣科科技,2025-11-03,27.36,31.0,27.36,29.69,0.1204,0.1374,70978817.0,2071923200.0,0.111,78160.0
300390,天华新能,2025-11-03,31.36,36.0,31.36,34.07,0.12,0.1525,95353961.0,3248432800.0,0.1418,168627.0
300261,雅本化学,2025-11-03,7.53,8.66,7.49,8.13,0.1198,0.1612,107707548.0,861583440.0,0.1151,72692.0
688031,星环科技U,2025-11-03,64.91,73.5,63.0,72.66,0.11869999999999999,0.1617,12821759.0,868332240.0,0.1364,28952.0
301563,云汉芯城,2025-11-03,201.56,234.01,201.56,228.28,0.11810000000000001,0.1589,6137251.0,1335015340.0,0.4399,33539.0
300609,汇纳科技,2025-11-03,44.01,47.08,42.68,45.59,0.11800000000000001,0.1079,20331142.0,919568850.0,0.16949999999999998,53376.0
300865,大宏立,2025-11-03,29.98,33.92,29.71,33.02,0.11289999999999999,0.1419,7349215.0,234628220.0,0.1306,14881.0
300816,艾可蓝,2025-11-03,39.64,44.5,39.1,43.82,0.1125,0.1371,6403801.0,269869310.0,0.113,20534.0
002554,惠博普,2025-11-03,3.37,3.69,3.36,3.69,0.1015,0.09849999999999999,88559362.0,313949200.0,0.0664,30861.0
600759,洲际油气,2025-11-03,2.37,2.61,2.37,2.61,0.1013,0.1013,506106660.0,1292793120.0,0.12210000000000001,63370.0
002418,康盛股份,2025-11-03,4.75,5.23,4.66,5.23,0.1011,0.12,230756530.0,1143393050.0,0.20309999999999997,91054.0
000620,盈新发展,2025-11-03,2.45,2.73,2.41,2.73,0.1008,0.129,478263800.0,1260267430.0,0.1024,86787.0
000632,三木集团,2025-11-03,4.22,4.6,4.19,4.6,0.1005,0.0981,30664100.0,136654100.0,0.0659,9730.0
601512,中新集团,2025-11-03,9.22,10.19,9.16,10.19,0.10039999999999999,0.1112,19823853.0,193918180.0,0.0132,22065.0
002634,棒杰股份,2025-11-03,5.24,5.59,5.19,5.59,0.10039999999999999,0.0787,32669420.0,177108150.0,0.0732,16155.0
600667,太极实业,2025-11-03,8.6,9.54,8.16,9.54,0.1003,0.1592,389002350.0,3545547700.0,0.18600000000000003,182832.0
002772,众兴菌业,2025-11-03,13.11,14.37,13.1,14.37,0.1003,0.09720000000000001,17413358.0,240309470.0,0.0446,26449.0
002163,海南发展,2025-11-03,12.85,14.37,12.85,14.37,0.1003,0.1164,151323500.0,2098898900.0,0.1883,122702.0
000592,平潭发展,2025-11-03,7.7,7.79,7.52,7.79,0.1003,0.0381,146166090.0,1127176830.0,0.07629999999999999,69476.0
000555,神州信息,2025-11-03,18.4,20.85,17.67,20.85,0.1003,0.1678,218158440.0,4294002500.0,0.2245,219870.0
600475,华光环能,2025-11-03,15.46,17.01,15.36,17.01,0.1003,0.1067,40542267.0,665795470.0,0.043,43284.0
000777,中核科技,2025-11-03,22.0,23.16,21.71,23.16,0.1002,0.0689,54296940.0,1220966600.0,0.1416,68803.0
600444,国机通用,2025-11-03,19.3,20.09,19.1,20.09,0.1002,0.0542,11684506.0,233622660.0,0.07980000000000001,10246.0
000901,航天科技,2025-11-03,19.0,20.98,18.72,20.98,0.1002,0.1185,102592527.0,2048108400.0,0.1285,105529.0
002555,三七互娱,2025-11-03,22.85,22.85,22.45,22.85,0.1001,0.019299999999999998,57202336.0,1306532850.0,0.0358,32342.0
605598,上海港湾,2025-11-03,30.43,33.18,30.43,33.18,0.1001,0.09119999999999999,7965001.0,255272410.0,0.032799999999999996,18965.0
603014,威高血净,2025-11-03,42.3,42.3,42.3,42.3,0.1001,0.0,1150186.0,48652868.0,0.0302,1532.0
000973,佛塑科技,2025-11-03,7.92,8.57,7.9,8.57,0.1001,0.086,88412569.0,728395840.0,0.09140000000000001,48529.0
605258,协和电子,2025-11-03,34.46,37.91,34.11,37.91,0.1001,0.1103,7361611.0,269215360.0,0.0837,18564.0
603629,利通电子,2025-11-03,28.96,29.45,27.44,29.45,0.1001,0.0751,37482840.0,1076586570.0,0.1462,35048.0
603122,合富中国,2025-11-03,10.77,10.77,10.51,10.77,0.1001,0.026600000000000002,25225380.0,271109160.0,0.0634,15467.0
600089,特变电工,2025-11-03,19.66,21.54,19.63,21.54,0.1001,0.0975,416423300.0,8661769900.0,0.0824,397116.0
603360,百傲化学,2025-11-03,30.11,32.97,29.53,32.97,0.1001,0.1148,30879597.0,973149800.0,0.0437,27446.0
603929,亚翔集成,2025-11-03,44.58,46.71,43.72,46.71,0.1001,0.0704,4590700.0,210924940.0,0.0215,9260.0
002912,中新赛克,2025-11-03,29.55,32.54,29.55,32.54,0.1001,0.1011,13201101.0,414481830.0,0.0814,21517.0
605338,巴比食品,2025-11-03,25.02,27.6,25.02,27.6,0.1,0.10279999999999999,10586230.0,283290050.0,0.044199999999999996,17518.0
001266,宏英智能,2025-11-03,30.97,33.65,29.75,33.65,0.1,0.1275,8527625.0,270937270.0,0.1478,18055.0
002611,东方精工,2025-11-03,19.86,20.9,19.55,20.9,0.1,0.0711,311847450.0,6358037800.0,0.31120000000000003,286921.0
002492,恒基达鑫,2025-11-03,8.61,9.35,8.61,9.35,0.1,0.08710000000000001,20155450.0,185438060.0,0.0507,13328.0
000955,欣龙控股,2025-11-03,6.36,6.82,6.24,6.82,0.1,0.0935,51480153.0,340138270.0,0.09570000000000001,25236.0
000838,财信发展,2025-11-03,2.8,3.08,2.8,3.08,0.1,0.1,80123750.0,239227630.0,0.076,24405.0
000572,海马汽车,2025-11-03,6.89,7.26,6.83,7.26,0.1,0.0652,143098980.0,1024362290.0,0.08710000000000001,59253.0
603516,淳中科技,2025-11-03,178.0,189.97,176.0,189.97,0.1,0.0809,13963475.0,2611414700.0,0.0687,46801.0
603188,亚邦股份,2025-11-03,4.58,4.84,4.51,4.84,0.1,0.075,51027100.0,240357870.0,0.0895,25939.0
603163,圣晖集成,2025-11-03,45.88,50.49,45.51,50.49,0.1,0.1085,8232119.0,402472710.0,0.0823,21522.0
601929,吉视传媒,2025-11-03,3.72,4.07,3.71,4.07,0.1,0.0973,346988090.0,1385701900.0,0.09939999999999999,105646.0
600637,东方明珠,2025-11-03,10.0,10.67,9.87,10.67,0.1,0.0825,200966840.0,2110037000.0,0.059800000000000006,87679.0
002134,天津普林,2025-11-03,20.2,22.23,20.05,22.23,0.1,0.1079,17601599.0,379875200.0,0.0716,17209.0
605100,华丰股份,2025-11-03,31.65,34.79,31.02,34.79,0.0999,0.1192,10482456.0,347968110.0,0.0617,23351.0
