code,name,change_rate,current_price,change_value,buy_price,sell_price,total_volume,total_amount,current_volume,speed_1min,real_change_rate,avg_diff,turnover_rate,order_ratio,total_market_cap,circulating_market_cap,circulation_ratio,speed_4min,deviation_today,deviation_unusual,deviation_10d,deviation_30d,unusual_count_10d,inner_volume,outer_volume,inner_outer_ratio,remark,negative_factor,positive_factor,main_net_volume,volume_ratio,pe_ttm,net_profit,pb_ratio,eps,sub_industry,industry,prev_close,open_price,open_change_rate,auction_turnover,high_price,low_price,change_5d,change_10d,change_20d,ytd_change,amplitude,buy_volume,sell_volume,trade_count,contribution,institution_trend,unusual_type,total_shares,circulating_shares,total_profit,net_profit_growth,bvps,golden_cross_count,retail_count,self_select_time,self_select_price,self_select_profit,listing_date
300344,ST立方,0.2,5.16,0.86,5.16,,68918616.0,336692930.0,118404.0,0.0,0.2028,6.39,0.1075,100.0,3311205100.0,3308567100.0,0.9992,0.0,,,,,,27394492.0,41524124.0,0.66,,,,1.8,4.55,,-62209048.0,14.66,-0.097,垂直应用软件,软件开发,4.3,4.29,-0.0023,0.0003,5.16,4.25,0.1917,0.23149999999999998,0.0955,0.15960000000000002,0.2116,2234028.0,0.0,21184.0,,22.29,,641706420.0,641195170.0,-65151691.0,-0.2059,0.35,5.0,-339.95,,,,2012-08-01
688435,英方软件,0.2,45.36,7.56,45.36,,11357407.0,475793820.0,1402.0,0.0,0.1797,9.17,0.2407,100.0,3787560000.0,2140201600.0,0.5650999999999999,0.0,,,,,,4976844.0,6380563.0,0.78,,,,1.56,5.08,,-14705796.0,3.45,-0.18,横向通用软件,软件开发,37.8,38.45,0.0172,0.0014000000000000002,45.36,38.45,0.2792,0.3787,0.308,0.503,0.18280000000000002,1393460.0,,18438.0,0.03,7.07,,83500000.0,47182576.0,-15412575.0,0.5356000000000001,13.16,0.0,-117.5,,,,2023-01-19
300402,宝色股份,0.1999,21.85,3.64,21.85,,9217674.0,201406180.0,27100.0,0.0,0.0,-0.0,0.0378,100.0,5392372400.0,5323064200.0,0.9871,0.0,,,,,,9217674.0,0.0,,,,,2.12,2.74,89.39,50191783.0,3.6,0.204,金属制品,通用设备,18.21,21.85,0.1999,0.009899999999999999,21.85,21.85,0.18239999999999998,0.2275,0.2255,0.4905,0.0,11010900.0,0.0,4109.0,,38.9,,246790500.0,243618500.0,49040339.0,-0.1386,6.07,12.0,1160.23,,,,2014-10-10
300848,美瑞新材,0.1999,18.97,3.16,18.97,,44700498.0,845142460.0,1300.0,0.0,0.0,0.4,0.1766,100.0,8117028300.0,4801734100.0,0.5916,0.0,,,,,,35647492.0,9053006.0,3.94,,,,3.92,15.53,95.16,58345696.0,5.26,0.14,聚氨酯,化学制品,15.81,18.97,0.1999,0.0298,18.97,18.26,0.2014,0.2366,0.1827,0.1724,0.0449,3993136.0,0.0,16101.0,,15.37,,427887630.0,253122510.0,60496660.0,0.1522,3.61,1.0,2632.33,,,,2020-07-20
300455,航天智装,0.1998,24.56,4.09,24.56,,94083226.0,2156449000.0,80368.0,0.0,0.1998,8.01,0.1328,100.0,17628381000.0,17403767000.0,0.9873000000000001,0.0,,,,,,42573409.0,51509817.0,0.827,,,,1.89,1.12,,-158365610.0,10.45,-0.221,其他计算机设备,计算机设备,20.47,20.47,0.0,0.0006,24.56,20.25,0.1547,0.4456,0.47950000000000004,0.8973,0.21059999999999998,6331903.0,0.0,101536.0,,15.49,,717767940.0,708622440.0,-158113010.0,-6.7410000000000005,2.35,6.0,104.61,,,,2015-05-15
301096,百诚医药,0.19149999999999998,68.99,11.09,68.99,69.0,31201563.0,2060804800.0,53700.0,-0.0001,0.1251,5.08,0.37689999999999996,-9.85,7535659300.0,5711487500.0,0.7579,-0.0001,,,,,,16691476.0,14510087.0,1.15,,,,2.4,9.43,,6124210.0,2.91,0.06,医疗研发外包,医疗服务,57.9,61.32,0.0591,0.0025,69.48,58.21,0.19879999999999998,0.1666,0.1895,0.8184,0.1946,16700.0,18000.0,37105.0,,4.6,,109228284.0,82787179.0,7965059.0,-0.9568000000000001,23.67,9.0,6145.2,,,,2021-12-20
301468,博盈特焊,0.1636,42.47,5.97,42.4,42.47,18901751.0,762615210.0,165000.0,0.011899999999999999,0.1023,5.82,0.252,45.93,5525936400.0,3185360700.0,0.5764,0.011899999999999999,,,,,,9164986.0,9736765.0,0.941,,,,0.79,1.64,123.4,41615375.0,2.45,0.32,其他专用设备,专用设备,36.5,38.53,0.0556,0.0026,43.6,37.11,0.2183,0.27690000000000003,0.648,1.0497,0.1778,11600.0,4486.0,36617.0,,4.32,,130113877.0,75002606.0,47932653.0,-0.37170000000000003,17.34,3.0,-295.95,,,,2023-07-24
300710,万隆光电,0.16149999999999998,24.88,3.46,24.88,24.89,23684594.0,576814840.0,100.0,0.0008,0.1465,2.46,0.3176,55.03,2475318700.0,1855550700.0,0.7495999999999999,0.0008,,,,,,13576542.0,10108052.0,1.34,,,,4.37,4.55,,-10300345.0,5.35,-0.104,通信网络设备及器件,通信设备,21.42,21.7,0.0131,0.0002,25.7,21.34,0.1222,0.1503,0.30879999999999996,0.3931,0.20350000000000001,38400.0,8400.0,37409.0,,15.79,,99490300.0,74580013.0,-6886855.0,-1.776,4.65,10.0,-365.04,,,,2017-10-19
688766,普冉股份,0.141,146.14,18.06,146.13,146.14,18207540.0,2530032600.0,134.0,0.001,0.1409,5.61,0.12300000000000001,-42.19,21635896000.0,21635896000.0,1.0,0.001,,,,,,8612859.0,9594681.0,0.898,,,,0.62,1.11,170.7,59049216.0,9.52,0.47,数字芯片设计,半导体,128.08,128.09,0.0001,0.0002,148.5,127.02,-0.0379,0.2899,0.47619999999999996,1.0291,0.1677,200.0,493.0,45900.0,0.14,4.87,,148049100.0,148049100.0,47419858.0,-0.7373000000000001,15.35,1.0,377.79,,,,2021-08-23
688559,海目星,0.1367,48.97,5.89,48.97,48.98,36697548.0,1742466800.0,193323.0,0.0006,0.0882,3.45,0.1481,10.8,12132760400.0,12132760400.0,1.0,0.0006,,,,,,16552273.0,20145275.0,0.822,,,,-0.49,2.97,,-912518290.0,5.14,-3.74,激光设备,自动化设备,43.08,45.0,0.0446,0.001,49.28,44.6,0.23850000000000002,0.2883,0.18289999999999998,0.4235,0.10859999999999999,24335.0,24269.0,63965.0,0.08,-3.49,,247759040.0,247759040.0,-911108360.0,-6.45,9.54,2.0,247.77,,,,2020-09-09
