.	代码	    名称	.	涨幅	现价	涨跌	买价	卖价	总手	总金额	现手	1分钟涨速	实体涨幅	现均差%	换手	委比%	总市值	流通市值	流通比例	4分钟涨速	当日偏离值	异动偏离值	10日内偏离值	30日内偏离值	10日异动次数	内盘	外盘	内外比	备注	利空	利好	主力净量	量比	TTM市盈率	净利润	市净率	每股盈利	细分行业	所属行业	昨收	开盘	开盘涨幅	竞价换手	最高	最低	5日涨幅	10日涨幅	20日涨幅	年初至今	振幅	买量	卖量	笔数	贡献度	机构动向	异动类型	总股本	流通股本	利润总额	净利润增长率	每股净资产	金叉个数	散户数量	自选时间	自选价格	自选收益	上市日期	
	SZ300344	ST立方	--	+20.00%	5.16	+0.86	5.16	--	68918616	336692930	118404↑	+0.00%	+20.28%	+6.39	10.75%	+100.00	3311205100	3308567100	99.92%	+0.00%	--	--	--	--	--	27394492	41524124	0.660	--	无	无	1.80	4.55		-62209048	14.66	-0.097	垂直应用软件	软件开发	4.30	4.29	-0.23%	0.03%	5.16	4.25	+19.17%	+23.15%	+9.55%	+15.96%	21.16%	2234028	0	21184	--	22.29	--	641706420	641195170	-65151691亿	-20.59%	0.35	5	-339.95	--	--	--	20120801	
32	SH688435	英方软件	--	+20.00%	45.36	+7.56	45.36	--	11357407	475793820	1402↑	+0.00%	+17.97%	+9.17	24.07%	+100.00	3787560000	2140201600	56.51%	+0.00%	--	--	--	--	--	4976844	6380563	0.780	--	无	无	1.56	5.08		-14705796	3.45	-0.180	横向通用软件	软件开发	37.80	38.45	+1.72%	0.14%	45.36	38.45	+27.92%	+37.87%	+30.80%	+50.30%	18.28%	1393460	--	18438	+0.03	7.07	--	83500000	47182576	-15412575亿	53.56%	13.16	0	-117.50	--	--	--	20230119	
	SZ300402	宝色股份	--	+19.99%	21.85	+3.64	21.85	--	9217674	201406180	27100↑	+0.00%	+0.00%	-0.00	3.78%	+100.00	5392372400	5323064200	98.71%	+0.00%	--	--	--	--	--	9217674	0	--	--	无	无	2.12	2.74	89.39	50191783	3.60	0.204	金属制品	通用设备	18.21	21.85	+19.99%	0.99%	21.85	21.85	+18.24%	+22.75%	+22.55%	+49.05%	0.00%	11010900	0	4109	--	38.90	--	246790500	243618500	49040339亿	-13.86%	6.07	12	1160.23	--	--	--	20141010	
	SZ300848	美瑞新材	--	+19.99%	18.97	+3.16	18.97	--	44700498	845142460	1300↓	+0.00%	+0.00%	+0.40	17.66%	+100.00	8117028300	4801734100	59.16%	+0.00%	--	--	--	--	--	35647492	9053006	3.94	--	无	无	3.92	15.53	95.16	58345696	5.26	0.140	聚氨酯	化学制品	15.81	18.97	+19.99%	2.98%	18.97	18.26	+20.14%	+23.66%	+18.27%	+17.24%	4.49%	3993136	0	16101	--	15.37	--	427887630	253122510	60496660亿	15.22%	3.61	1	2632.33	--	--	--	20200720	
4	SZ300455	航天智装	--	+19.98%	24.56	+4.09	24.56	--	94083226	2156449000	80368↑	+0.00%	+19.98%	+8.01	13.28%	+100.00	17628381000	17403767000	98.73%	+0.00%	--	--	--	--	--	42573409	51509817	0.827	--	无	无	1.89	1.12		-158365610	10.45	-0.221	其他计算机设备	计算机设备	20.47	20.47	+0.00%	0.06%	24.56	20.25	+15.47%	+44.56%	+47.95%	+89.73%	21.06%	6331903	0	101536	--	15.49	--	717767940	708622440	-158113010亿	-674.1%	2.35	6	104.61	--	--	--	20150515	
4	SZ301096	百诚医药	--	+19.15%	68.99	+11.09	68.99	69.00	31201563	2060804800	53700↑	-0.01%	+12.51%	+5.08	37.69%	-9.85	7535659300	5711487500	75.79%	-0.01%	--	--	--	--	--	16691476	14510087	1.15	--	无	无	2.40	9.43		6124210	2.91	0.060	医疗研发外包	医疗服务	57.90	61.32	+5.91%	0.25%	69.48	58.21	+19.88%	+16.66%	+18.95%	+81.84%	19.46%	16700	18000	37105	--	4.60	--	109228284	82787179	7965059亿	-95.68%	23.67	9	6145.20	--	--	--	20211220	
4	SZ301468	博盈特焊	--	+16.36%	42.47	+5.97	42.40	42.47	18901751	762615210	165000↑	+1.19%	+10.23%	+5.82	25.20%	+45.93	5525936400	3185360700	57.64%	+1.19%	--	--	--	--	--	9164986	9736765	0.941	--	无	无	0.79	1.64	123.4	41615375	2.45	0.320	其他专用设备	专用设备	36.50	38.53	+5.56%	0.26%	43.60	37.11	+21.83%	+27.69%	+64.80%	+104.97%	17.78%	11600	4486	36617	--	4.32	--	130113877	75002606	47932653亿	-37.17%	17.34	3	-295.95	--	--	--	20230724	
	SZ300710	万隆光电	--	+16.15%	24.88	+3.46	24.88	24.89	23684594	576814840	100↑	+0.08%	+14.65%	+2.46	31.76%	+55.03	2475318700	1855550700	74.96%	+0.08%	--	--	--	--	--	13576542	10108052	1.34	--	无	无	4.37	4.55		-10300345	5.35	-0.104	通信网络设备及器件	通信设备	21.42	21.70	+1.31%	0.02%	25.70	21.34	+12.22%	+15.03%	+30.88%	+39.31%	20.35%	38400	8400	37409	--	15.79	--	99490300	74580013	-6886855亿	-177.6%	4.65	10	-365.04	--	--	--	20171019	
32	SH688766	普冉股份	--	+14.10%	146.14	+18.06	146.13	146.14	18207540	2530032600	134↓	+0.10%	+14.09%	+5.61	12.30%	-42.19	21635896000	21635896000	100.00%	+0.10%	--	--	--	--	--	8612859	9594681	0.898	--	无	无	0.62	1.11	170.7	59049216	9.52	0.470	数字芯片设计	半导体	128.08	128.09	+0.01%	0.02%	148.50	127.02	-3.79%	+28.99%	+47.62%	+102.91%	16.77%	200	493	45900	+0.14	4.87	--	148049100	148049100	47419858亿	-73.73%	15.35	1	377.79	--	--	--	20210823	
32	SH688559	海目星	--	+13.67%	48.97	+5.89	48.97	48.98	36697548	1742466800	193323↑	+0.06%	+8.82%	+3.45	14.81%	+10.80	12132760400	12132760400	100.00%	+0.06%	--	--	--	--	--	16552273	20145275	0.822	--	无	无	-0.49	2.97		-912518290	5.14	-3.74	激光设备	自动化设备	43.08	45.00	+4.46%	0.10%	49.28	44.60	+23.85%	+28.83%	+18.29%	+42.35%	10.86%	24335	24269	63965	+0.08	-3.49	--	247759040	247759040	-911108360亿	-645.0%	9.54	2	247.77	--	--	--	20200909	
